gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	78.08540925266904	100.88275862068966	93.0	108.0
UGDH-AS1	1733.0273003033367	2341.48087431694	2244.0	2450.0
LOC101926898	1392.754074074074	2389.095298602287	803.5	2515.0
LOC100129434	1427.4603562696473	2381.596153846154	1563.0	2476.5
IGFL4	1256.0237050043897	2314.9045307443366	469.0	2771.5
FAM241A	950.6085481682496	2049.0329027540824	0.0	2510.0
LINC01873	516.2007147111376	644.8668154761905	571.0	718.5
KANTR	679.2650659882335	899.7257792754845	206.0	689.0
LINC00504	2011.8818493150684	2543.158008658009	2095.0	2517.5
LINC00506	1060.4567441860465	1117.6382352941177	948.0	1148.0
geo_mean	867.1149324031527	1265.2449027172236	0.0	1322.790943234683
