gene	mean	mean_nonzero	median	median_nonzero
LOC100129434	1205.7170799860287	1652.4499760651029	1269.0	1951.0
FAM241A	775.6742424242424	1572.6875286565796	0.0	1840.0
LINC00506	802.0030232558139	935.8515603799186	677.0	876.0
LINC01873	415.4353782013103	517.4451038575668	467.0	565.0
KANTR	543.127842264271	744.817051897078	163.0	621.0
LINC00504	1590.9447773972602	2043.6882045642012	1629.5	2002.0
WARS2-IT1	72.31138790035587	92.57175398633258	78.5	86.0
UGDH-AS1	1424.7222783956859	1792.6849024597116	1780.0	2084.0
LOC101926898	1160.2044444444443	1990.1855146124524	683.5	2178.0
IGFL4	1088.694468832309	2006.509708737864	471.0	2334.0
geo_mean	715.2434498280519	1024.1471349161586	0.0	1072.4420182021538
