gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	107.67259786476869	138.78899082568807	119.0	139.5
UGDH-AS1	2224.3437815975735	2864.421875	2600.0	3103.5
LOC101926898	1858.805925925926	3184.502538071066	1028.0	3457.0
LOC100129434	1869.4785190359762	3097.405671296296	1865.0	3138.5
IGFL4	1731.676909569798	3191.5533980582522	596.0	3702.0
KANTR	867.860073143584	1146.1511969760604	314.0	898.5
FAM241A	1346.3969923111715	2509.491043203372	1.0	2928.0
LINC01873	702.4294222751638	872.3217455621302	802.0	846.0
LINC00506	1259.5913953488373	1473.4066920565833	1066.0	1532.0
LINC00504	2733.36665239726	3298.96383363472	2467.5	2985.0
geo_mean	1150.7690176779474	1653.3462918454716	433.4666508222149	1678.010407776021
