gene	mean	mean_nonzero	median	median_nonzero
LINC00504	0.9993578767123288	1.7090043923865301	1.0	2.0
WARS2-IT1	0.0	nan	0.0	nan
UGDH-AS1	1.152005392652511	2.0272835112692764	1.0	2.0
LOC101926898	0.8970370370370371	1.9659090909090908	0.0	2.0
LOC100129434	0.9898707649318896	1.862023653088042	1.0	2.0
FAM241A	0.3989145183175034	1.7234978016609672	0.0	2.0
IGFL4	0.5364354697102721	1.977346278317152	0.0	2.0
LINC01873	0.34544371649791544	1.3211845102505695	0.0	1.0
KANTR	0.1725234536492288	1.305655836341757	0.0	1.0
LINC00506	0.22023255813953488	1.134131736526946	0.0	1.0
geo_mean	0.0	nan	0.0	nan
