gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	74.45551601423487	96.19310344827586	82.0	91.0
UGDH-AS1	1705.360296595888	2112.6530271398747	2190.0	2336.0
LOC100129434	1397.3461404121551	2334.073512252042	1470.0	2449.0
IGFL4	1232.1694468832309	1834.5633986928106	423.0	2529.0
LOC101926898	1372.9377777777777	2355.10292249047	793.0	2476.0
FAM241A	928.4891451831751	1765.5467641367447	1.0	2267.0
KANTR	693.4685959612021	1002.3498046426109	198.0	842.0
LINC00504	1980.0520119863013	2610.2717268623023	2101.5	2566.5
LINC01873	485.76533650982725	604.1481481481482	539.0	639.0
LINC00506	1086.626511627907	1255.7092179521635	983.0	1415.0
geo_mean	852.1823522376731	1217.9363837227097	338.1057622734114	1306.0399643071707
