gene	mean	mean_nonzero	median	median_nonzero
LINC01873	736.4651578320429	906.5432551319648	774.0	984.0
LINC00506	1505.6944186046512	1757.4609120521172	1383.5	2018.5
LINC00504	3107.58647260274	3796.716527196653	3151.5	3483.0
WARS2-IT1	132.30249110320284	170.9287356321839	119.0	149.0
UGDH-AS1	2750.928210313448	3716.75956284153	3530.0	3866.0
LOC101926898	2254.0622222222223	3279.0775862068967	1283.5	3452.5
IGFL4	2042.8647936786656	3245.220362622036	723.0	4400.0
LOC100129434	2291.9259517988125	3828.345390898483	2366.0	3917.0
FAM241A	1477.0686341022163	2803.8624168276456	1.0	2909.0
KANTR	943.1138495786294	1090.3020220588235	317.0	573.5
geo_mean	1338.3602985899597	1853.519861308306	500.5145736781613	1818.5458382478566
