gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	35.30071174377224	46.35280373831776	39.0	44.0
LOC100129434	594.6074048201187	992.0518648018648	644.0	1029.5
UGDH-AS1	717.4459049544995	978.6951724137931	926.0	1021.0
LOC101926898	583.3822222222223	1000.7191867852605	344.0	1051.0
IGFL4	510.2862159789289	774.9546666666666	183.0	1058.5
FAM241A	390.0753052917232	1023.0800711743773	0.0	1142.0
KANTR	279.61202098902845	406.39704183036747	81.0	367.0
LINC01873	217.56045265038713	271.1833704528582	240.0	289.0
LINC00506	435.9455813953488	510.08598639455784	409.0	578.0
LINC00504	829.6012414383562	1093.6503950338601	850.0	1052.0
geo_mean	361.8391784325346	542.1870596012911	0.0	572.6077130721767
