gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	1.0053380782918149	1.9217687074829932	1.0	1.0
UGDH-AS1	21.868891135827436	31.806372549019606	26.0	31.0
LOC101926898	17.20740740740741	30.485564304461942	9.0	25.0
LOC100129434	17.96192804750262	30.214453584018802	19.0	30.0
IGFL4	15.423178226514487	29.4748322147651	3.0	32.0
KANTR	8.552711082843059	15.276341948310138	3.0	15.0
FAM241A	11.626639529624605	32.42699463891517	0.0	32.0
LINC01873	8.706372840976773	11.305491105955143	9.0	11.0
LINC00506	13.762558139534883	16.379463050096874	15.0	17.0
LINC00504	25.294948630136986	33.84249713631157	25.0	31.0
geo_mean	11.218917141220302	18.67219244856612	0.0	17.045186103709177
