gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	104.32918149466192	134.78850574712644	105.5	124.0
UGDH-AS1	2260.768790023593	3257.746964545896	2914.0	3285.0
LOC100129434	1862.2560251484456	3107.0157342657344	1943.0	3287.0
LOC101926898	1830.1762962962962	3139.438373570521	1024.5	3289.0
IGFL4	1630.6935908691835	3000.5815831987074	549.0	3646.0
FAM241A	1204.19131614654	2287.342783505155	1.0	2570.0
KANTR	835.5372873270791	1045.0863166268894	255.0	647.0
LINC01873	615.3704586063133	761.3905674281503	668.0	801.0
LINC00506	1360.1127906976744	1507.7300850734725	1227.5	1599.0
LINC00504	2589.6900684931506	3228.9917267147052	2710.0	3221.0
geo_mean	1110.7561626458214	1605.6291724953974	424.5810971346551	1600.2750749966867
