gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	105.65302491103203	136.49885057471263	126.5	143.0
LOC101926898	1700.171111111111	2473.3092672413795	1110.5	2894.5
UGDH-AS1	2064.8840579710145	2533.7100909842843	2399.0	2637.0
LOC100129434	1748.8435207823961	2911.0110465116277	1785.0	2958.5
IGFL4	1680.8402107111501	2696.4464788732394	610.0	3480.5
LINC01873	778.2364502680167	922.7817796610169	809.0	895.0
KANTR	944.8091906503419	1184.3541957345026	332.0	771.0
FAM241A	1357.4547715965628	2999.832583708146	0.0	3560.5
LINC00506	1248.8223255813953	1458.429114611624	1109.0	1429.5
LINC00504	2655.376926369863	3362.038211382114	2378.5	3185.5
geo_mean	1136.9347737061428	1597.0428179195019	0.0	1621.6170820339519
