gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	38.320284697508896	38.320284697508896	32.0	32.0
LOC101926898	657.2422222222223	1127.4167725540026	381.5	1173.0
UGDH-AS1	822.1351533535558	1193.967205090553	1038.0	1249.0
IGFL4	594.4855136084284	1101.0065040650406	179.0	1338.0
LOC100129434	683.914076143905	1056.1197411003236	687.0	1191.0
LINC01873	241.75521143537821	300.67185185185184	241.0	310.0
KANTR	288.52917792971857	453.980485364023	103.0	451.0
FAM241A	425.5904568068747	964.6135315222963	0.0	1195.0
LINC00504	905.5126284246576	1161.2832830085094	968.0	1071.0
LINC00506	472.9341860465116	553.5157866086009	455.0	602.0
geo_mean	400.81991381055735	589.5980187676355	0.0	617.4005907314246
