gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	38.905693950177934	50.38018433179724	40.0	48.0
UGDH-AS1	871.304010785305	1257.3730544747082	1100.0	1281.0
LOC101926898	704.3385185185185	1208.2045743329097	402.0	1286.0
LOC100129434	722.4023751309815	1114.9530997304582	781.0	1240.0
IGFL4	634.1273046532045	1168.7233009708739	235.0	1415.5
FAM241A	470.69436906377206	1142.690365083722	0.0	1305.0
KANTR	328.22642709492766	514.8954851583936	105.0	489.0
LINC01873	256.4401429422275	307.98497854077254	265.0	317.5
LINC00506	520.0911627906977	606.5614320585842	487.0	677.0
LINC00504	997.466823630137	1191.8580562659847	1022.0	1208.0
geo_mean	431.6976087507926	648.0535876153641	0.0	685.7537004231076
