gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	60.63879003558719	77.2766439909297	67.0	76.0
UGDH-AS1	1259.9764071452646	1678.6484059272564	1638.0	1767.0
LOC101926898	1023.7814814814815	1505.5610021786492	595.5	1635.5
LOC100129434	1047.8456164862032	1751.3029772329246	1180.0	1843.0
IGFL4	928.1826163301141	1724.6329526916802	360.0	2036.0
FAM241A	688.9644957033016	1432.3464974141984	0.0	1753.5
LINC01873	347.0184633710542	431.58814814814815	393.0	465.5
KANTR	483.8421052631579	691.4071801863213	150.0	596.0
LINC00504	1448.3448202054794	1745.3358266701057	1518.0	1767.0
LINC00506	748.0169767441861	875.7073237135857	652.5	956.0
geo_mean	627.9553212358969	909.0449927212189	0.0	961.7827767421492
