gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	8.551601423487545	12.483116883116883	5.0	11.0
UGDH-AS1	177.15335355578026	257.40156709108714	229.0	255.0
LOC101926898	147.68666666666667	256.26863753213365	95.5	281.5
LOC100129434	145.8340901152637	208.97047047047047	146.0	245.0
IGFL4	126.40210711150132	236.4072249589491	41.0	288.0
FAM241A	91.93928086838535	250.11104275607505	0.0	276.0
KANTR	61.749880744156464	100.81645898234683	17.0	97.0
LINC01873	48.783799880881475	61.4463615903976	47.0	61.0
LINC00504	197.31164383561645	260.3332391979667	211.0	253.0
LINC00506	100.50744186046512	117.6645793629186	94.0	121.0
geo_mean	86.20084582690683	134.4531927863816	0.0	139.47251683179164
