gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	90.77758007117438	117.28045977011494	111.0	120.0
LOC101926898	1495.7748148148148	2565.814485387548	870.5	2749.0
UGDH-AS1	1828.3572632288508	2557.6313059877416	2294.0	2636.0
LOC100129434	1516.7488648271044	2160.423880597015	1654.0	2557.0
IGFL4	1356.2677787532923	2499.65857605178	466.0	2938.5
FAM241A	1030.2498869289914	1983.354375272094	1.0	2517.5
KANTR	740.225314040388	979.2336979385781	231.0	724.0
LINC01873	550.1417510422871	683.7068837897854	628.0	745.0
LINC00504	2157.0595034246576	2830.0426846391465	2202.0	2799.0
LINC00506	1123.886976744186	1313.9516041326808	982.0	1463.0
geo_mean	936.5977022592298	1352.769332186507	374.0336726011383	1432.276729030716
