gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	83.2491103202847	107.55402298850575	94.0	106.0
UGDH-AS1	1728.1833501853723	2350.994956441999	2148.0	2426.0
LOC101926898	1438.4437037037037	2211.73006833713	817.5	2335.0
LOC100129434	1433.9790429619281	2398.0619158878503	1468.0	2496.5
IGFL4	1256.8604038630378	2033.471590909091	465.0	2615.0
FAM241A	973.0799412030756	2097.469900073117	0.0	2503.0
LINC01873	483.4925550923169	595.5862068965517	534.0	654.0
KANTR	669.6346000954047	881.4005860192549	196.0	651.5
LINC00506	1006.9727906976744	1090.6758186397985	907.0	1124.0
LINC00504	2030.326412671233	2405.092545638945	2080.5	2354.5
geo_mean	867.0920278915079	1229.2352792450538	0.0	1271.7170192092178
