gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	93.81672597864768	121.20689655172414	96.0	115.0
LOC101926898	1649.0333333333333	2393.7580645161293	921.5	2524.5
IGFL4	1504.5908691834943	2786.551219512195	548.0	3256.0
LOC100129434	1703.177436255676	2724.132402234637	1829.0	3004.0
UGDH-AS1	2061.999662959218	2832.385648148148	2663.0	2976.5
FAM241A	1115.5677295341475	1951.360957278481	1.0	1948.5
KANTR	830.0375258387661	1187.7374288964734	243.0	1029.0
LINC01873	600.7296009529482	746.5766099185788	674.0	804.0
LINC00506	1297.6188372093022	1491.914705882353	1148.0	1676.0
LINC00504	2373.3110017123286	3052.8934471365637	2508.5	3055.5
geo_mean	1034.2490032863122	1476.2650183494702	402.416163804369	1528.865062399166
