gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	88.51957295373666	114.3632183908046	89.0	103.0
UGDH-AS1	1787.0141557128413	2454.6625	2263.0	2564.5
LOC101926898	1485.8777777777777	2548.8373570520966	892.0	2705.0
LOC100129434	1485.2497380370241	2298.5243243243244	1620.0	2537.0
LINC01873	540.1393686718285	607.430676490288	598.0	672.0
IGFL4	1312.640035118525	2214.9585185185183	498.0	2840.0
LINC00504	2118.558005136986	2791.286802030457	2145.0	2676.0
FAM241A	1027.476368159204	2256.518748447976	0.0	2655.0
KANTR	743.2739704245508	1059.2454112848402	216.0	906.0
LINC00506	1091.533023255814	1237.4352755075138	1009.5	1348.0
geo_mean	920.5766092547148	1337.1170277706228	0.0	1405.2008383622267
