gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	108.41637010676156	139.74770642201835	112.0	150.0
UGDH-AS1	2504.2581732389617	3491.6043233082705	3262.0	3636.5
LOC101926898	1985.0074074074073	3405.0317662007624	1160.0	3642.0
IGFL4	1793.5662862159788	2691.5309617918315	662.0	3560.0
LOC100129434	2062.7827453719874	2972.19275289381	2032.0	3561.0
LINC00506	1468.5153488372093	1615.8178096212896	1384.5	1769.5
LINC01873	733.8296605122097	914.0207715133531	767.0	967.5
KANTR	902.0302114803625	1280.8462406863853	318.0	1160.0
FAM241A	1287.4549977385798	2480.6649237472766	1.0	2626.5
LINC00504	2755.0192636986303	3479.710732630441	2949.0	3353.0
geo_mean	1212.6231494845345	1712.5860151028044	473.60162933303207	1838.1913802431163
