gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	1.3576512455516014	2.3769470404984423	1.0	2.0
LOC101926898	38.964444444444446	68.22568093385215	21.0	66.0
LOC100129434	43.08243101641634	72.13157894736842	42.0	76.0
UGDH-AS1	50.586113919784296	73.53699167074963	64.0	74.0
IGFL4	36.92537313432836	70.21368948247078	12.0	79.0
FAM241A	27.644278606965173	77.81222151495862	0.0	84.0
LINC01873	15.705181655747468	19.811419984973703	18.0	22.0
KANTR	17.19875973922722	28.82041033839595	6.0	31.0
LINC00504	57.466395547945204	76.92922636103152	59.0	71.0
LINC00506	26.79279069767442	31.816901408450704	27.0	36.0
geo_mean	23.386705062952764	38.171860702786105	0.0	39.20911903054257
