gene	mean	mean_nonzero	median	median_nonzero
LINC00504	8.110445205479452	11.002322880371661	8.0	11.0
IGFL4	4.900790166812994	9.381512605042017	1.0	10.0
LOC101926898	5.75037037037037	10.134464751958225	3.0	10.0
KANTR	3.1232310383208777	6.28544	0.0	6.0
UGDH-AS1	7.30165149983148	10.619607843137254	8.0	10.0
WARS2-IT1	0.0	nan	0.0	nan
FAM241A	3.776797829036635	11.597916666666666	0.0	12.0
LINC01873	2.4145324597974986	3.2959349593495935	2.0	3.0
LINC00506	4.9511627906976745	6.534683855125844	4.0	6.0
LOC100129434	6.410059378274537	11.427148194271481	6.0	11.0
geo_mean	0.0	nan	0.0	nan
