gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	41.30960854092527	53.37011494252874	44.0	52.0
UGDH-AS1	927.9804516346478	1347.0244618395304	1184.0	1366.0
LOC101926898	752.5355555555556	1292.5229007633588	464.5	1348.5
LOC100129434	774.6409360810338	1293.9305717619604	780.0	1368.0
IGFL4	679.0421422300263	1261.7112561174552	236.0	1538.0
LINC01873	215.37701012507446	245.16474576271187	214.0	241.0
FAM241A	483.13251922207144	1129.1818181818182	0.0	1356.0
LINC00506	511.29372093023255	580.4020591341077	462.0	641.5
KANTR	301.0814119891875	475.6345139412208	90.0	440.0
LINC00504	1032.5203339041095	1268.7887953708575	1075.0	1210.5
geo_mean	436.4789193287294	655.7822169091007	0.0	684.2642161030456
