gene	mean	mean_nonzero	median	median_nonzero
LINC01873	255.7284097677189	311.81408859840235	259.0	335.0
LINC00504	941.9561215753424	1239.667323943662	968.5	1176.0
LINC00506	487.32674418604654	569.4307065217391	467.0	616.0
WARS2-IT1	41.72775800711744	53.91034482758621	43.0	47.0
UGDH-AS1	833.3940006740816	1200.9130645944633	1080.0	1235.0
LOC101926898	663.2837037037037	1137.7801778907242	400.5	1252.0
LOC100129434	698.1274886482711	1166.1254375729288	764.0	1223.0
IGFL4	635.1141352063213	958.1390728476821	264.0	1321.0
FAM241A	450.7516960651289	1065.0408763024311	0.0	1236.0
KANTR	316.7344569883924	465.189864549276	115.0	450.5
geo_mean	420.1480810870393	624.1736280305514	0.0	660.7610773472924
