gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	73.02846975088968	74.48638838475499	80.0	86.0
UGDH-AS1	1239.8220424671385	1797.0454323400097	1398.0	1695.0
LOC101926898	1014.3814814814815	1740.0444726810674	584.0	1791.0
LOC100129434	1038.0904645476774	1730.95690157251	1032.0	1801.0
IGFL4	918.0254609306409	1691.9595469255664	467.0	1803.0
FAM241A	663.8410221619176	1608.9366949849273	0.0	1777.0
KANTR	454.9289235172524	671.7652030993191	104.0	584.0
LINC01873	324.0369267421084	374.6955922865014	324.0	366.0
LINC00504	1440.3662243150684	1857.9213141910548	1491.0	1762.0
LINC00506	750.6927906976745	878.1226877040261	746.5	1004.5
geo_mean	626.1350431657567	923.3981736450892	0.0	945.3247716586723
