gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	37.895017793594306	48.95862068965517	43.0	52.0
UGDH-AS1	802.1735760026963	1113.7337388862893	921.0	1205.0
LOC101926898	673.4785185185185	1155.2681067344345	388.0	1190.0
LOC100129434	678.5137967167307	1135.3506721215663	674.0	1174.0
IGFL4	606.6874451273046	1127.2707993474714	207.0	1305.0
KANTR	310.49546827794563	441.1897876186173	117.0	371.5
FAM241A	486.62358661239256	1104.9291399229783	0.0	1289.0
LINC01873	251.93210244192971	314.02672605790644	285.0	311.0
LINC00506	456.43302325581396	531.8867208672086	387.0	558.0
LINC00504	982.1633133561644	1238.50661268556	884.5	1123.0
geo_mean	412.8374248973872	618.0300016676243	0.0	635.009472887987
