gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	23.135231316725978	23.469314079422382	26.0	27.0
UGDH-AS1	388.16616110549376	528.2977064220183	459.0	573.0
LOC101926898	312.49333333333334	536.0432020330369	174.5	593.0
LOC100129434	323.4980789381767	540.3588098016336	327.0	569.0
IGFL4	300.9482001755926	553.7641357027463	113.0	638.0
FAM241A	231.91938037087291	611.5369707811568	0.0	672.0
KANTR	156.77468595961201	239.8919708029197	52.0	236.0
LINC01873	130.89517569982132	164.00970149253732	153.0	162.0
LINC00504	467.07298801369865	615.9088343211968	452.0	568.0
LINC00506	224.23511627906976	262.7277929155313	212.0	292.0
geo_mean	205.78422195294095	308.2418762904663	0.0	327.4940018991553
