gene	mean	mean_nonzero	median	median_nonzero
LINC00504	320.1181506849315	423.20090548953027	341.0	407.0
WARS2-IT1	15.857651245551601	20.534562211981566	15.0	18.0
LOC101926898	223.4651851851852	383.32655654383734	130.5	403.0
LOC100129434	231.3859587844918	386.49824970828473	260.0	409.0
KANTR	107.50405469868024	170.25761772853187	31.0	161.0
UGDH-AS1	278.63363667003705	404.6529613313754	367.0	407.0
FAM241A	150.95997286295793	397.7033065236819	0.0	424.0
IGFL4	205.84547848990343	379.3818770226537	85.0	456.5
LINC01873	79.09529481834426	98.66344725111442	90.0	102.0
LINC00506	169.57046511627908	198.46298312465976	146.0	234.0
geo_mean	141.75743370564103	219.70550226051833	0.0	227.14010496208275
