gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	133.32562277580072	171.85550458715596	141.0	156.0
UGDH-AS1	2305.2810920121333	2806.6347968814116	2788.0	3053.0
LOC101926898	1901.1659259259259	2765.7047413793102	1152.0	3046.0
LOC100129434	1920.8040516940273	2840.5278925619837	2053.0	3127.5
IGFL4	1788.8226514486391	3296.875404530744	682.0	3928.0
FAM241A	1309.6934644957032	2370.151217515858	1.0	2645.0
KANTR	1009.7024964223247	1444.4993175614195	336.0	1300.5
LINC01873	796.6271590232282	902.5215924426451	887.0	973.0
LINC00504	2684.5714897260273	3410.0918977705273	2691.5	3473.5
LINC00506	1462.1760465116279	1660.6859482303223	1396.0	1767.0
geo_mean	1235.719988606629	1713.823663651523	484.31513208728006	1804.5141109287065
