gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	1.0231316725978647	1.8081761006289307	1.0	2.0
UGDH-AS1	46.05594876980115	67.14889434889434	56.0	70.0
LOC100129434	38.56199790429619	64.52542372881356	40.0	69.0
LOC101926898	37.69777777777778	65.41388174807199	20.0	73.0
FAM241A	24.190298507462686	67.53125	0.0	74.0
IGFL4	36.014925373134325	67.02777777777777	15.0	76.0
KANTR	15.967562410558118	27.83259423503326	6.0	27.0
LINC00504	52.7298801369863	70.0665529010239	56.0	69.5
LINC01873	12.136390708755211	15.172747580044676	13.0	15.0
LINC00506	27.417441860465118	32.794158553546595	24.0	35.0
geo_mean	21.00500635611787	34.29545074836406	0.0	36.23976035025446
