gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	2.5765124555160144	3.924119241192412	3.0	4.0
UGDH-AS1	66.03943377148634	89.5925925925926	83.0	92.0
LOC101926898	55.08814814814815	95.71299871299871	34.0	112.0
LOC100129434	54.19385260216556	90.94783118405627	58.0	99.0
IGFL4	49.339771729587355	91.82679738562092	16.0	107.0
FAM241A	35.71969696969697	98.65865084322299	0.0	106.0
KANTR	26.39084115121641	45.113346017939655	7.0	46.0
LINC01873	20.41215008933889	25.691154422788607	22.0	27.0
LINC00504	77.07191780821918	102.58689458689459	85.0	103.0
LINC00506	43.304883720930235	51.17092607859302	40.0	52.0
geo_mean	33.16441733852602	52.8090797963082	0.0	56.08352266487207
