gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	39.14768683274021	50.57701149425287	36.5	49.0
UGDH-AS1	692.0845972362656	998.7427042801556	861.0	1009.0
LOC100129434	580.648271044359	895.6875	618.0	990.0
LOC101926898	566.6851851851852	898.9717978848414	325.0	972.0
IGFL4	516.0825285338016	951.1618122977346	191.0	1112.0
FAM241A	392.5758706467662	987.4689988623436	0.0	1129.0
LINC01873	248.0494341870161	309.1870824053452	266.0	332.0
KANTR	311.6875496899348	453.8557536466775	107.0	419.0
LINC00504	821.5963184931506	1040.5253456221199	846.0	1026.0
LINC00506	468.92325581395346	547.4803149606299	446.0	598.0
geo_mean	374.1778710459863	560.3827522716012	0.0	589.8462309091749
