gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	63.81850533807829	81.6993166287016	61.0	74.0
UGDH-AS1	1541.3704078193462	2085.3834929320565	1978.0	2164.0
LOC101926898	1259.0074074074073	2001.9552414605419	731.5	2194.0
LOC100129434	1275.7174292699965	1815.2977137176938	1412.0	2127.0
IGFL4	1122.5381913959613	2068.8851132686086	423.0	2492.5
LINC01873	427.6104824300179	533.4011887072809	470.0	545.0
KANTR	580.2882811257751	875.163788968825	159.0	788.0
FAM241A	830.2665083672547	1660.1575853493105	1.0	2019.0
LINC00506	952.9197674418605	1111.352047735286	872.5	1230.0
LINC00504	1784.6134417808219	2344.6889763779527	1847.0	2295.5
geo_mean	757.4165149623152	1099.707655363355	302.1810897234455	1163.8498912790703
