gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	77.61209964412811	100.27126436781609	89.0	98.0
LOC101926898	1250.7444444444445	1863.6920529801325	721.5	2107.5
LOC100129434	1269.2595179881243	1759.7530266343826	1394.0	2093.0
IGFL4	1151.4249341527657	1734.7526455026455	438.0	2402.5
UGDH-AS1	1529.2699696663296	2217.66568914956	1943.0	2241.0
LINC01873	448.28707564026206	556.7115384615385	477.0	602.5
FAM241A	836.7314563545907	1967.575910662058	0.0	2299.0
KANTR	586.8344728891716	782.4044943820224	179.0	616.0
LINC00504	1749.5417380136987	2152.7150381880433	1775.0	2139.0
LINC00506	900.4783720930233	1052.189402173913	837.0	1173.5
geo_mean	772.0445757800064	1094.0091453548764	0.0	1174.2589401396624
