gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	65.5338078291815	84.66666666666667	74.0	84.0
UGDH-AS1	1354.20559487698	1959.9648780487805	1717.0	1975.0
LOC101926898	1112.4518518518519	1478.1594488188975	608.0	1485.0
LOC100129434	1127.2025847013622	1880.6416083916083	1196.0	1969.5
IGFL4	976.566286215979	1802.7698541329012	374.0	2113.0
FAM241A	740.1378335594753	1517.6858335265476	0.0	1860.0
KANTR	513.8134838607092	739.2754518416838	147.0	644.0
LINC01873	382.0661107802263	477.2983630952381	411.0	491.5
LINC00504	1577.2452910958905	1994.2868741542625	1610.5	1929.0
LINC00506	821.6204651162791	905.6570110228147	754.0	967.0
geo_mean	677.7916340224817	978.4661046966137	0.0	1011.9310820830659
