gene	mean	mean_nonzero	median	median_nonzero
LINC00504	1162.5010702054794	1532.0747531734837	1199.0	1445.0
WARS2-IT1	49.905693950177934	63.74318181818182	46.0	57.0
UGDH-AS1	1041.0741489720256	1511.1873776908024	1310.0	1492.5
LOC101926898	851.6407407407407	1244.280303030303	519.0	1309.0
LOC100129434	865.2018861334265	1439.321905868681	886.0	1504.0
IGFL4	775.1194029850747	1157.091743119266	269.0	1517.0
KANTR	360.9314676419145	566.7660424469414	120.0	554.0
FAM241A	544.8543645409317	1113.633464293968	0.0	1242.0
LINC01873	291.7665276950566	364.7624720774386	300.0	382.0
LINC00506	592.3662790697674	692.5435019032083	564.0	777.0
geo_mean	509.22516718457933	739.2782464681718	0.0	771.781892286806
