gene	mean	mean_nonzero	median	median_nonzero
KANTR	1342.6794402925743	1660.2656311443177	391.0	918.0
LINC00504	4263.077910958904	5585.277621985418	4282.5	5376.5
LINC00506	2057.7897674418605	2403.8293941863626	1765.0	2616.0
WARS2-IT1	162.11565836298934	209.44597701149425	195.5	221.0
UGDH-AS1	3586.3080552746883	4224.127034537515	4442.0	4816.0
LOC101926898	2974.422962962963	5102.250317662008	1721.0	5320.0
LOC100129434	2996.857492141111	4335.5245073269325	3238.0	4990.0
IGFL4	2675.4398595259	3785.498136645963	1054.0	5375.0
FAM241A	2040.2501130710086	3660.7774396429295	1.0	4021.0
LINC01873	928.5193567599762	1086.4	1016.0	1174.0
geo_mean	1774.3968386297888	2408.4767068036404	658.4360771928065	2492.557375153219
