gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	26.418149466192173	34.13103448275862	23.0	30.0
UGDH-AS1	540.9669700033704	786.0181194906954	675.0	789.0
LOC101926898	435.6725925925926	747.3418043202033	260.0	830.0
IGFL4	421.7831431079895	777.3640776699029	146.0	957.5
LOC100129434	445.3101641634649	685.0741536808167	473.0	742.0
LINC01873	153.05955926146515	190.9264487369985	158.0	195.0
KANTR	188.75973922722213	309.30432516935906	83.0	297.0
FAM241A	299.18769787426504	804.0158006684899	0.0	863.0
LINC00504	622.9135273972603	822.3373834416502	598.0	789.0
LINC00506	302.7353488372093	354.31736526946105	283.0	397.5
geo_mean	267.9285331702455	413.9446251703121	0.0	430.53008319568914
