gene	mean	mean_nonzero	median	median_nonzero
LINC00504	3659.1395547945203	4439.236561931965	3617.5	4418.0
WARS2-IT1	158.05160142348754	204.19540229885058	194.5	211.0
UGDH-AS1	3107.30839231547	3977.3011216566006	3781.0	4319.0
LOC101926898	2556.051851851852	3868.464125560538	1608.5	4471.0
LOC100129434	2609.6800558854347	3919.99685204617	2870.0	4319.5
IGFL4	2439.433713784021	4038.5392441860463	916.0	5238.5
LINC00506	1793.3402325581396	1977.272564102564	1502.5	2087.5
LINC01873	853.880285884455	1057.2750737463127	963.0	1154.5
KANTR	1194.2843059309905	1493.2115308151094	385.0	916.0
FAM241A	1784.7229760289463	3529.5371198568873	1.0	4245.0
geo_mean	1577.519149371861	2180.763121347546	602.1483152464103	2281.2506508119495
