gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	9.823843416370106	12.721198156682028	7.0	9.0
UGDH-AS1	195.62049207954163	283.8171149144254	248.0	280.0
LOC101926898	158.75555555555556	229.71061093247587	97.0	247.0
LOC100129434	160.94027244149493	251.10190735694823	175.0	281.0
IGFL4	146.70061457418788	273.0261437908497	54.0	322.0
KANTR	72.03688980760057	118.8769351876148	24.0	110.0
FAM241A	105.58480325644504	268.1769098219414	0.0	299.0
LINC01873	55.70815961882073	69.69746646795826	60.0	69.0
LINC00504	225.22003424657535	298.33512900482	243.0	295.0
LINC00506	116.46953488372093	136.31437125748502	98.5	151.0
geo_mean	97.80061634898709	148.27857084766111	0.0	149.80874345372732
