gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	16.231316725978647	21.21395348837209	15.0	19.0
UGDH-AS1	337.1017863161442	489.5648556045032	433.0	498.0
LOC101926898	269.1977777777778	461.7750952986023	169.0	498.0
LOC100129434	278.12329724065665	465.10922897196264	285.0	494.0
IGFL4	244.7708516242318	453.32357723577235	95.0	565.0
FAM241A	179.11363636363637	455.06492387245044	0.0	514.0
KANTR	114.7024964223247	180.47635726795096	34.0	178.0
LINC01873	99.43954734961287	124.41058122205663	105.0	128.0
LINC00504	380.36429794520546	485.4034416826004	398.0	459.0
LINC00506	191.61186046511628	224.38208061002177	191.5	249.0
geo_mean	164.97062276424117	254.17144830919102	0.0	265.802634222645
