gene	mean	mean_nonzero	median	median_nonzero
LINC01873	1000.3621203097082	1138.7172881355932	1051.0	1165.0
IGFL4	2631.169446883231	3917.518954248366	985.0	5178.0
KANTR	1263.977102878041	1675.9755429053341	431.0	1347.0
LINC00506	1975.3888372093024	2302.567633505015	1809.5	2455.0
FAM241A	1943.1208729081864	3905.6729545454546	0.0	4417.0
LINC00504	4056.1354880136987	4994.798365840801	4079.0	4546.0
WARS2-IT1	183.97686832740214	237.14449541284404	202.0	218.0
UGDH-AS1	3596.129423660263	4849.870909090909	4663.0	5195.0
LOC100129434	2991.4173943416	4301.571069814164	3125.0	5016.0
LOC101926898	2938.502962962963	4580.807159353349	1665.0	5241.0
geo_mean	1769.6654870354287	2444.2370718115867	0.0	2556.511571050964
