gene	mean	mean_nonzero	median	median_nonzero
LINC00506	6.336744186046512	8.185040552718535	7.0	8.0
WARS2-IT1	0.5391459074733096	1.2317073170731707	0.0	1.0
UGDH-AS1	13.932928884395011	20.464851485148515	17.0	21.0
LOC101926898	9.27037037037037	16.10682110682111	6.0	16.0
LOC100129434	11.480614739783444	19.2104032729398	12.0	21.0
IGFL4	11.499561018437225	22.01344537815126	3.0	25.0
KANTR	4.26379392590237	8.480392156862745	1.0	8.0
FAM241A	7.152193577566712	21.925129982668977	0.0	22.0
LINC00504	14.52076198630137	19.900557348195953	15.0	20.0
LINC01873	3.4508636092912446	4.3629518072289155	4.0	4.0
geo_mean	6.236646188547053	10.853692317372179	0.0	10.710731249516703
