gene	mean	mean_nonzero	median	median_nonzero
LINC00504	70.33839897260275	93.49103840682788	73.0	93.0
WARS2-IT1	2.6814946619217084	4.23314606741573	2.0	4.0
UGDH-AS1	63.28311425682507	91.94955925563174	78.0	92.0
LOC100129434	52.382465944813134	87.6510812390415	59.0	90.0
IGFL4	50.016681299385425	92.18284789644012	19.0	112.0
LOC101926898	52.49407407407407	90.97175866495508	31.0	99.0
KANTR	22.32930513595166	38.379065318393	8.0	37.0
FAM241A	32.49004975124378	91.68538608806637	0.0	97.0
LINC01873	18.979154258487196	23.851796407185628	18.0	24.0
LINC00506	37.1753488372093	43.72374179431072	35.0	47.0
geo_mean	31.07725020209403	50.02567767874166	0.0	51.76913460515686
