gene	mean	mean_nonzero	median	median_nonzero
UGDH-AS1	138.4216380182002	201.3220588235294	167.0	208.0
WARS2-IT1	8.758007117437723	13.055702917771884	11.0	14.0
LOC100129434	115.37792525323087	193.17368421052632	121.0	190.0
LOC101926898	116.25407407407407	199.41931385006353	67.0	220.0
IGFL4	110.36259877085162	183.5080291970803	51.0	220.0
FAM241A	83.67695612844867	228.8308596165739	0.0	235.0
LINC00506	80.79279069767442	91.18346456692913	71.0	94.0
LINC00504	165.8591609589041	219.51671388101983	161.0	200.0
LINC01873	50.986896962477665	63.60104011887073	62.0	67.0
KANTR	60.54078549848943	95.88038277511961	23.0	93.0
geo_mean	75.73884333097706	117.90043637656437	0.0	122.11172873863529
