gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	106.01067615658363	109.11721611721612	116.0	120.0
UGDH-AS1	2034.381867205932	2954.484092021537	2591.0	2928.0
LOC101926898	1642.0614814814815	2816.750952986023	948.5	2999.0
LOC100129434	1678.3681453021306	2608.668838219327	1697.0	2881.5
IGFL4	1492.270412642669	2750.3171521035597	528.0	3441.0
LINC01873	576.89755807028	700.3694866232827	615.0	726.0
KANTR	711.2752424868819	1023.852140077821	218.0	920.0
LINC00504	2267.33540239726	2906.17037037037	2375.5	2823.0
LINC00506	1162.9967441860465	1319.494986807388	1086.0	1447.0
FAM241A	1059.6817051108096	2161.8973471741638	0.0	2471.0
geo_mean	1001.6851487847929	1441.4691275133616	0.0	1530.3151168460327
