gene	mean	mean_nonzero	median	median_nonzero
LOC100129434	418.0216556060077	697.8402332361516	427.0	734.0
WARS2-IT1	23.530249110320284	30.4	28.0	33.0
UGDH-AS1	502.4081563869228	727.1439024390244	656.0	720.0
LOC101926898	412.0037037037037	706.7407878017789	227.0	732.0
LINC00504	559.2348030821918	708.6371033360456	592.0	693.0
FAM241A	264.1348937132519	651.2431000836353	0.0	742.0
LINC00506	290.9318604651163	328.2621359223301	276.0	355.0
IGFL4	352.6988586479368	655.3409461663948	144.0	790.0
KANTR	180.02401017649865	292.3995351239669	53.0	288.0
LINC01873	140.5497319833234	173.90051584377304	153.0	175.0
geo_mean	245.0506658107032	375.02850416278375	0.0	395.13697413034686
