gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	47.654804270462634	61.56781609195402	41.0	51.0
UGDH-AS1	997.9757330637007	1352.0520547945205	1265.0	1398.0
LOC100129434	824.9556409360811	1180.3338330834583	827.0	1366.0
LOC101926898	799.8859259259259	1372.1041931385007	465.0	1426.0
IGFL4	717.28797190518	1328.4406504065041	247.0	1625.0
KANTR	358.93162664970583	552.8584374234631	124.0	524.0
FAM241A	525.0744007236544	1256.0881796050853	0.0	1441.0
LINC01873	281.3222156045265	350.92124814264486	309.0	367.0
LINC00506	588.7879069767442	688.9219047619048	580.0	751.0
LINC00504	1127.640410958904	1390.4291369754553	1161.5	1329.0
geo_mean	489.65985380146475	727.9882764935296	0.0	757.7618187841074
