gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	22.322064056939503	28.97228637413395	29.0	32.0
UGDH-AS1	419.6939669700034	609.5115026921194	495.0	641.0
LOC101926898	343.31925925925924	588.9212198221093	219.0	637.0
LOC100129434	359.34648969612294	600.2386231038506	342.0	625.0
FAM241A	259.40796019900495	605.6504751847941	0.0	712.0
IGFL4	321.6786654960492	597.7030995106036	120.0	672.0
KANTR	177.48338368580062	275.1276805521321	64.0	244.0
LINC01873	143.039309112567	178.82576321667906	158.0	171.0
LINC00504	524.1755136986301	691.988697372139	475.5	632.0
LINC00506	247.41860465116278	280.8606124604013	199.0	286.0
geo_mean	223.96525003158885	341.55508856877645	0.0	352.31779336979804
