gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	5.124555160142349	7.639257294429708	2.0	7.0
UGDH-AS1	94.91843613077182	137.24317738791424	116.0	141.0
LOC101926898	81.24592592592593	141.16087516087515	49.0	162.0
LOC100129434	79.7471184072651	133.59625511995318	90.0	137.0
IGFL4	73.74978050921861	137.25653594771242	28.0	169.0
FAM241A	53.31919945725916	141.6932091346154	0.0	158.0
KANTR	35.86611543965655	60.8804318488529	11.0	60.0
LINC00504	109.77846746575342	145.41678480294868	108.0	133.0
LINC00506	51.52162790697675	60.48129948129948	46.0	61.0
LINC01873	26.975580702799284	30.602702702702704	29.0	32.0
geo_mean	48.20953666182148	75.84737865584586	0.0	78.6969539882553
