gene	mean	mean_nonzero	median	median_nonzero
KANTR	63.46668786770552	104.4600889819419	26.0	102.0
LOC101926898	135.16074074074075	231.85133418043202	71.5	255.0
WARS2-IT1	7.902135231316726	10.424882629107982	7.0	10.0
UGDH-AS1	169.44455679137175	244.76241480038948	212.0	245.0
IGFL4	124.6233538191396	231.55954323001632	55.0	268.0
LOC100129434	142.89696122947956	239.52810304449648	147.0	248.0
LINC00504	191.81549657534248	245.18796169630642	195.0	234.0
FAM241A	90.46754862053369	240.34094322619404	0.0	267.0
LINC01873	51.83085169743895	64.99178491411502	54.0	71.0
LINC00506	103.70186046511628	121.40430166076777	99.0	130.0
geo_mean	84.7333215632075	131.8989838507303	0.0	137.6518882134184
